 time            v(OUT+)         v(OUT-)         @R1[i]          @R2[i]         
 6.02800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.12800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.22800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.32800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.42800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.52800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.62800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.72800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.82800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 6.92800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.02800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.12800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.22800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.32800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.42800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.52800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.62800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.72800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.82800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 7.92800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.02800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.12800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.22800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.32800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.42800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.52800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.62800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.72800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.82800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 8.92800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.02800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.12800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.22800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.32800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.42800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.52800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.62800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.72800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.82800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 9.92800000e-10  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.00280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.01280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.02280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.03280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.04280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.05280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.06280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.07280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.08280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.09280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.10280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.11280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.12280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.13280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.14280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.15280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.16280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.17280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.18280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.19280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.20280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.21280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.22280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.23280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.24280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.25280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.26280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.27280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.28280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.29280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.30280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.31280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.32280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.33280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.34280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.35280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.36280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.37280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.38280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.39280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.40280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.41280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.42280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.43280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.44280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.45280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.46280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.47280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.48280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.49280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.50280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.51280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.52280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
